,0,1,2,3
434,403.0,404.0,150.73,4.0
435,403.0,930.0,508.1,4.0
436,405.0,437.0,375.41,4.0
437,406.0,407.0,314.15,4.0
438,411.0,412.0,1321.64,4.0
439,411.0,415.0,2291.0,4.0
440,411.0,676.0,2295.76,4.0
441,412.0,657.0,17.89,4.0
442,414.0,691.0,105.58,4.0
443,416.0,417.0,154.65,4.0
444,418.0,419.0,31.23,4.0
445,418.0,595.0,1562.69,4.0
446,420.0,421.0,207.53,4.0
447,420.0,422.0,3574.76,4.0
448,421.0,817.0,154.59,4.0
449,422.0,424.0,108.35,4.0
450,423.0,424.0,1208.18,4.0
451,425.0,426.0,742.15,4.0
452,426.0,563.0,1006.39,4.0
453,427.0,428.0,1889.55,4.0
454,427.0,907.0,701.45,4.0
455,429.0,509.0,347.99,0.0
456,430.0,431.0,606.33,4.0
457,430.0,460.0,552.93,4.0
458,430.0,460.0,552.31,4.0
459,431.0,620.0,161.25,4.0
460,432.0,433.0,814.8,4.0
461,433.0,790.0,574.15,4.0
462,434.0,776.0,703.11,4.0
463,438.0,439.0,984.16,4.0
464,439.0,677.0,803.27,4.0
465,440.0,441.0,1374.8,4.0
466,442.0,443.0,309.19,4.0
467,442.0,762.0,844.35,4.0
468,444.0,445.0,1032.82,4.0
469,445.0,831.0,259.94,4.0
470,447.0,505.0,390.59,4.0
471,448.0,684.0,57.61,4.0
472,448.0,567.0,299.7,4.0
473,449.0,449.0,1421.0,1.0
474,449.0,450.0,221.18,1.0
475,449.0,450.0,227.46,1.0
476,450.0,451.0,488.91,1.0
477,450.0,451.0,501.9,1.0
478,451.0,452.0,469.72,1.0
479,451.0,452.0,465.53,1.0
480,452.0,452.0,2335.72,1.0
481,453.0,454.0,53.37,4.0
482,453.0,717.0,1213.24,0.0
483,455.0,456.0,318.7,4.0
484,455.0,456.0,318.1,4.0
485,455.0,838.0,2366.1,4.0
486,456.0,578.0,679.98,4.0
487,457.0,458.0,3749.15,4.0
488,459.0,913.0,64.24,4.0
489,461.0,462.0,4544.57,4.0
490,464.0,465.0,8599.01,4.0
491,466.0,467.0,500.49,4.0
492,466.0,693.0,1582.92,4.0
493,468.0,842.0,577.52,4.0
494,469.0,470.0,255.23,5.0
495,469.0,800.0,2741.74,3.0
496,472.0,472.0,571.87,1.0
497,472.0,473.0,298.03,1.0
498,472.0,473.0,297.73,1.0
499,473.0,474.0,267.09,1.0
500,473.0,474.0,271.12,1.0
501,474.0,474.0,1063.22,1.0
502,474.0,1046.0,1502.04,0.0
503,477.0,478.0,3740.76,0.0
504,477.0,832.0,2427.49,4.0
505,479.0,508.0,1141.25,0.0
506,480.0,481.0,1878.39,1.0
507,482.0,483.0,1187.93,0.0
508,484.0,485.0,928.02,0.0
509,484.0,714.0,177.25,4.0
510,486.0,487.0,1299.65,0.0
511,486.0,727.0,88.82,5.0
512,488.0,489.0,2480.43,4.0
513,489.0,857.0,1223.28,0.0
514,490.0,491.0,228.75,4.0
515,493.0,494.0,1240.65,0.0
516,494.0,723.0,1253.83,1.0
517,494.0,723.0,1253.18,1.0
518,495.0,496.0,458.94,0.0
519,496.0,791.0,605.59,0.0
520,498.0,499.0,630.4,4.0
521,499.0,937.0,159.11,4.0
522,500.0,501.0,1698.86,4.0
523,502.0,503.0,370.46,5.0
524,504.0,1001.0,450.62,0.0
525,506.0,785.0,1086.19,4.0
526,508.0,608.0,223.35,0.0
527,508.0,612.0,455.5,3.0
528,511.0,512.0,11291.44,6.0
529,513.0,514.0,6162.72,6.0
530,513.0,737.0,6914.65,6.0
531,515.0,516.0,7819.06,6.0
532,516.0,516.0,116.85,6.0
533,516.0,517.0,21845.79,6.0
534,517.0,518.0,0.19,6.0
535,517.0,519.0,363.02,6.0
536,520.0,521.0,11676.81,6.0
537,521.0,737.0,8298.84,6.0
538,521.0,743.0,699.53,6.0
539,522.0,523.0,1416.54,5.0
540,524.0,758.0,1136.83,4.0
541,525.0,526.0,1955.04,5.0
542,527.0,528.0,1940.43,5.0
543,529.0,530.0,1502.09,5.0
544,531.0,532.0,821.02,5.0
545,533.0,534.0,872.91,5.0
546,535.0,536.0,4303.8,5.0
547,535.0,822.0,4956.94,5.0
548,537.0,538.0,513.03,5.0
549,537.0,751.0,881.27,5.0
550,539.0,540.0,1182.03,4.0
551,539.0,683.0,4761.29,4.0
552,541.0,542.0,489.37,4.0
553,544.0,545.0,43.69,4.0
554,545.0,868.0,1556.76,4.0
555,546.0,547.0,4349.66,4.0
556,547.0,706.0,310.7,4.0
557,548.0,549.0,312.57,4.0
558,548.0,549.0,296.12,4.0
559,548.0,834.0,30.21,4.0
560,549.0,613.0,36.94,4.0
561,550.0,551.0,271.21,4.0
562,550.0,929.0,268.78,4.0
563,553.0,877.0,290.62,4.0
564,554.0,555.0,43.76,4.0
565,555.0,764.0,36.31,4.0
566,556.0,557.0,621.33,4.0
567,556.0,662.0,24.26,4.0
568,557.0,1041.0,637.49,0.0
569,558.0,1109.0,321.23,2.0
570,559.0,560.0,3305.44,4.0
571,559.0,757.0,55.94,4.0
572,561.0,672.0,397.84,4.0
573,565.0,566.0,211.72,4.0
574,565.0,799.0,4389.27,0.0
575,567.0,568.0,88.92,4.0
